	category	subcategory	code	name	url	description	unit_price
0	Wireless Connectivity	GPS/GNSS	MIKROE-1850	GNSS Click	https://www.mikroe.com/gnss-click	GNSS click carries Quectel’s L86 GNSS module with a patch antenna along with an external antenna connector. GNSS stands for Global Navigation Satellite System...	46.00
1	Wireless Connectivity	GPS/GNSS	MIKROE-1887	GNSS2 Click	https://www.mikroe.com/gnss-2-click	GNSS2 click carries Quectel’s L76 module and an SMA antenna connector. GNSS stands for Global Navigation Satellite System, an umbrella term that describes both the United States GPS and the Russian GLONASS global positioning systems.	39.00
2	Wireless Connectivity	GPS/GNSS	MIKROE-1895	GNSS3 Click	https://www.mikroe.com/gnss-3-click	GNSS3 click carries SIMCom’s SIM33ELA standalone GNSS module with an integrated antenna (and a connector for an external one).	39.00
3	Wireless Connectivity	GPS/GNSS	MIKROE-1032	GPS Click	https://www.mikroe.com/gps-click	GPS click is a compact solution for adding GPS functionality to your device. It carries the u-blox LEA-6S high-performance position engine. The click is designed to run on a 3.3V power supply and communicates with the target MCU through UART or I2C interface.Data can also be acquired through a PC application using the USB connection.	49.00
4	Wireless Connectivity	GPS/GNSS	MIKROE-1714	GPS3 Click	https://www.mikroe.com/gps-3-click	GPS3 click carries Quectel’s L80 GPS module, a high-sensitivity ultra slim GPS module with a patch antenna. The module incorporates several technologies that enhance the GPS performance.	44.00
5	Wireless Connectivity	GPS/GNSS	MIKROE-1912	NANO GPS Click	https://www.mikroe.com/nano-gps-click	Nano GPS click carries the Nano Hornet module from OriginGPS. It’s the smallest GPS module with an integrated patch antenna (measuring just 10x10x3.8mm).	45.00
6	Wireless Connectivity	GPS/GNSS	MIKROE-2045	GNSS 4 click	https://www.mikroe.com/gnss-4-click	GNSS 4 click carries SAM-M8Q patch antenna module from u-blox.The click is designed to run on a 3.3V power supply. It communicates with the target microcontroller over I2C or UART interface.	44.00
7	Wireless Connectivity	GPS/GNSS	MIKROE-2704	GPS 4 Click	https://www.mikroe.com/gps-4-click	GPS 4 click carries the L70 compact GPS module from Quectel. The click is designed to run on either 3.3V or 5V power supply. It communicates with the target microcontroller over UART interface, with additional functionality provided by the following pins on the mikroBUS™ line: PWM, AN, RST.	34.00
8	Wireless Connectivity	GPS/GNSS	MIKROE-3660	GNSS ZOE Click	https://www.mikroe.com/gnss-zoe-click	GNSS ZOE Click is a evaluation board for ultra small ZOE-M8Q GNSS SiP receiver from u-blox. Thanks to u-blox’s advanced algorithms and complete GNSS solution, the GNSS ZOE click meets even the most stringent requirements in versatile industrial and consumer applications, such as UAVs, vehicles and assets tracking, navigation devices based on GPS and...	39.00
9	Wireless Connectivity	GPS/GNSS	MIKROE-3739	Thingstream Click	https://www.mikroe.com/thingstream-click	Thingstream Click is an IoT gateway Click board™ with the Thingstream client SDK preinstalled. This enables the device to connect to the Thingstream global MQTT network and connectivity tools straight out of the box. Global connectivity is achieved by connecting to the strongest GSM network available across over 600 networks worldwide. This Click board™...	69.00
10	Wireless Connectivity	GPS/GNSS	MIKROE-3922	GNSS 7 Click	https://www.mikroe.com/gnss-7-click	Determine your current position with GNSS 7 click. It carries the NEO-M9N GNSS receiver module from u-blox. Thanks to u-blox’s advanced algorithms and complete GNSS solution, the GNSS 7 click meets even the most stringent requirements in versatile industrial and consumer applications, such as UAVs, vehicles and assets tracking, navigation devices based on...	39.00
